prices,house_types,ownership,new,noBed,Latitude,Longitude
12.837344422372032,3,1,1,3.0,51.390492,-2.387227
13.180632285528304,3,1,1,2.0,51.395582,-2.38691
12.449018824140563,4,2,1,2.0,51.374651,-2.330761
12.31716669303576,4,2,1,2.0,51.355431,-2.379679
13.060487973686241,3,1,2,1.0,51.386578,-2.359717
12.043553716032399,4,2,1,1.0,51.39477,-2.3444599999999998
12.535376392672774,3,1,1,3.0,51.378253,-2.384738
13.122363377404328,3,1,2,3.0,51.361289,-2.354074
12.594730635321957,1,1,1,3.0,51.369622,-2.3816349999999997
13.681979165339751,2,1,2,3.0,51.407606,-2.374244
12.611537753638338,4,2,1,3.0,51.386339,-2.352602
12.789683939021812,3,1,1,2.0,51.381902000000004,-2.384179
12.834681304952548,1,1,1,3.0,51.362795,-2.347954
12.345834587905333,4,2,1,3.0,51.384978000000004,-2.350623
12.679196402112153,2,1,1,2.0,51.39591,-2.354113
12.793859310432293,3,1,1,3.0,51.396778000000005,-2.3498509999999997
12.706847933442663,3,1,1,3.0,51.398946,-2.361137
12.92391243868049,1,1,1,3.0,51.371055,-2.380814
12.63866642102659,1,1,1,4.0,51.395871,-2.3553919999999997
12.604529922716278,3,1,1,3.0,51.388625,-2.3834459999999997
12.86643833656574,4,2,1,5.0,51.364916,-2.390961
13.179688444023599,2,1,2,3.0,51.361723,-2.353488
12.644327576461329,4,2,1,2.0,51.39139,-2.38482
12.487485104968359,3,1,1,3.0,51.388049,-2.3890599999999997
13.304684934198283,1,1,1,4.0,51.386433000000004,-2.37995
12.4529327234617,1,1,1,3.0,51.361289,-2.354074
12.345834587905333,1,1,1,3.0,51.387064,-2.3958060000000003
13.287877815881902,3,2,1,3.0,51.367606,-2.371175
13.112313041550827,3,1,2,3.0,51.359682,-2.3602819999999998
12.89921982609012,2,1,1,4.0,51.374743,-2.331851
12.886641043883259,4,2,2,3.0,51.379864000000005,-2.3814759999999997
12.80765263256463,3,1,1,3.0,51.379493,-2.376645
12.959844447906553,1,1,1,3.0,51.389944,-2.361569
12.994530005894443,1,1,1,3.0,51.379272,-2.3584389999999997
12.721885810807203,3,1,1,4.0,51.378192,-2.384264
12.594730635321957,3,1,1,3.0,51.38412,-2.376782
13.444446876573442,3,1,1,3.0,51.380013,-2.299476
13.681979165339751,2,1,1,5.0,51.409457,-2.307907
12.388394202324129,3,1,1,3.0,51.411324,-2.34444
12.553202176625375,2,1,1,4.0,51.404514,-2.3234
13.262125319779487,2,1,1,2.0,51.355777,-2.3810599999999997
13.116345305078767,2,1,1,3.0,51.361723,-2.353488
12.911642346088676,1,1,1,3.0,51.404903000000004,-2.401193
